Start	End	StartM	EndM	length	lengthM	ch	iid1	iid2	SNP_Dens
22729	24589	0.8552349805831909	0.9164159893989564	1860	0.061181008815765374	1	VLI007	I3952	304.01590885842137
69681	71999	2.2305281162261963	2.2916889190673837	2318	0.06116080284118652	1	VLI007	I3952	379.0009110931793
85614	87896	2.7386860847473145	2.8407790660858154	2282	0.10209298133850098	1	VLI007	POST_6	223.52173186458012
21536	23888	0.822754979133606	0.8849830031394958	2352	0.062228024005889886	1	VLI007	I4243_noUDG	377.9647574503383
86968	88990	2.411771059036255	2.479233980178833	2022	0.06746292114257812	2	VLI007	I0438	299.72019677692964
46001	49195	1.3530930280685425	1.43362295627594	3194	0.08052992820739746	2	VLI007	I19324	396.6227303436985
30819	33925	0.9339119791984558	1.016698956489563	3106	0.08278697729110718	2	VLI007	POST_6	375.1797808824747
43307	45899	1.1921160221099854	1.252308011054993	2592	0.060191988945007324	3	VLI007	I0438	430.6220886583605
68711	70475	1.8410780429840088	1.9011850357055664	1764	0.06010699272155761	3	VLI007	I0438	293.4766688747237
40251	43133	1.2244629859924316	1.2891130447387695	2882	0.06465005874633789	4	VLI007	POST_99	445.78459105626894
12824	14583	0.5057290196418762	0.5658299922943115	1759	0.0601009726524353	4	VLI007	I0157	292.67413194330805
13754	15828	0.5364440083503723	0.5987280011177063	2074	0.062283992767333984	4	VLI007	I21179	332.9908549292216
43768	46317	1.2440470457077026	1.3202069997787476	2549	0.07615995407104492	5	VLI007	I0157	334.69032788835386
24498	27933	0.7332659959793091	0.8522869944572449	3435	0.1190209984779358	5	VLI007	I3952	288.60453566408137
4384	5989	0.18702499568462366	0.25004199147224426	1605	0.06301699578762054	5	VLI007	I2452	254.69319505632419
3355	5186	0.1485469937324524	0.21211199462413788	1831	0.06356500089168549	6	VLI007	GBVPK.SG	288.0515966829005
43086	46258	1.0046470165252686	1.0772269964218142	3172	0.07257997989654541	6	VLI007	GBVPK.SG	437.03511691809916
55329	58207	1.5015319585800169	1.5720609426498413	2878	0.07052898406982422	8	VLI007	I3952	408.0591884253938
15160	18917	0.5079479813575745	0.5977720022201538	3757	0.08982402086257935	9	VLI007	I19321	418.2622826190098
2045	3680	0.07810100167989731	0.13977199792861938	1635	0.061670996248722076	9	VLI007	I3952	265.11652145296415
